1	скажите	сказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	root	_	@vvp1934m-words#@vvp1934m#1.725#2.242
215	к	к	ADP	_	_	_	case	_	@vvp1934m-words#@vvp1934m#320.364#320.742
216	нам	мы	PRON	_	Case=Dat|Number=Plur|Person=1	_	nmod	_	@vvp1934m-words#@vvp1934m#320.742#321.12
217	чт…	что	SCONJ	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#321.12#321.498
218	и	и	CCONJ	_	_	_	cc	_	@vvp1934m-words#@vvp1934m#321.498#321.876
219	не	не	PART	_	_	_	advmod	_	@vvp1934m-words#@vvp1934m#321.876#322.254
220	только	только	PART	_	_	_	advmod	_	@vvp1934m-words#@vvp1934m#322.254#322.632
221	запада	запад	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	nsubj	_	@vvp1934m-words#@vvp1934m#322.632#323.01
222	/	/	PUNCT	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#323.01#323.388
223	и	и	CCONJ	_	_	_	cc	_	@vvp1934m-words#@vvp1934m#323.388#323.766
224	вообще	вообще	ADV	_	Degree=Pos	_	obl	_	@vvp1934m-words#@vvp1934m#323.766#324.144
225	что	что	PRON	_	Case=Acc	_	conj	_	@vvp1934m-words#@vvp1934m#324.144#324.522
226	/	/	PUNCT	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#324.522#324.9
227	на	на	ADP	_	_	_	case	_	@vvp1934m-words#@vvp1934m#324.9#325.278
228	самом	самый	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	amod	_	@vvp1934m-words#@vvp1934m#325.278#325.656
229	деле	дело	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	parataxis	_	@vvp1934m-words#@vvp1934m#325.656#326.034
230	/	/	PUNCT	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#326.034#326.412
231	это	это	PART	_	_	_	nsubj	_	@vvp1934m-words#@vvp1934m#326.412#326.79
232	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	cop	_	@vvp1934m-words#@vvp1934m#326.79#327.168
233	политика	политика	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	appos	_	@vvp1934m-words#@vvp1934m#327.168#327.546
234	а	а	CCONJ	_	_	_	cc	_	@vvp1934m-words#@vvp1934m#327.546#327.924
235	не	не	PART	_	_	_	advmod	_	@vvp1934m-words#@vvp1934m#327.924#328.302
236	/	/	PUNCT	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#328.302#328.68
237	ээ	ээ	INTJ	_	_	_	conj	_	@vvp1934m-words#@vvp1934m#328.68#329.058
238	/	/	PUNCT	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#329.058#329.436
239	спорт	спорт	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	parataxis	_	@vvp1934m-words#@vvp1934m#329.436#329.814
240	?	?	PUNCT	_	_	_	punct	_	@vvp1934m-words#@vvp1934m#329.814#330.225
241	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	nsubj	_	@iavu1948f-words#@iavu1948f#43.207#43.531
242	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	iobj	_	@iavu1948f-words#@iavu1948f#43.531#43.855
243	с	с	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#43.855#44.179
244	другой	другой	ADJ	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	_	amod	_	@iavu1948f-words#@iavu1948f#44.179#44.503
245	стороны	сторона	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#44.503#44.827
246	подъеду	подъехать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	conj	_	@iavu1948f-words#@iavu1948f#44.827#45.153
247	вот	вот	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#45.817#46.2
248	например	например	ADV	_	Degree=Pos	_	obl	_	@iavu1948f-words#@iavu1948f#46.2#46.583
249	китайцы	китаец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	nsubj	_	@iavu1948f-words#@iavu1948f#46.583#46.966
250	строят	строить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	advcl	_	@iavu1948f-words#@iavu1948f#46.966#47.349
251	дом	дом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	obj	_	@iavu1948f-words#@iavu1948f#47.349#47.732
252	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#47.732#48.115
253	за	за	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#48.115#48.498
254	полтора	полтора	NUM	_	Case=Acc|Gender=Masc	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#48.498#48.881
255	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#48.881#49.264
256	ээ	ээ	INTJ	_	_	_	conj	_	@iavu1948f-words#@iavu1948f#49.264#49.647
257	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#49.647#50.03
258	месяца	месяц	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#50.03#50.413
259	строят	строить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	csubj	_	@iavu1948f-words#@iavu1948f#50.413#50.796
260	сь…	сь…	X	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#50.796#51.179
261	пятидесятиэтажный	пятидесятиэтажный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	amod	_	@iavu1948f-words#@iavu1948f#51.179#51.562
262	дом	дом	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#51.562#51.957
263	это	это	PART	_	_	_	expl	_	@iavu1948f-words#@iavu1948f#52.503#52.706
264	что	что	PRON	_	Case=Nom	_	obl	_	@iavu1948f-words#@iavu1948f#52.706#52.909
265	?	?	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#52.909#53.114
266	это	это	PART	_	_	_	obl	_	@iavu1948f-words#@iavu1948f#53.467#53.925
267	организация	организация	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	nsubj:pass	_	@iavu1948f-words#@iavu1948f#53.925#54.383
268	труда	труд	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#54.383#54.842
269	у	у	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#55.553#55.919
270	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	obl	_	@iavu1948f-words#@iavu1948f#55.919#56.285
271	тоже	тоже	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#56.285#56.651
272	можно	можно	ADV	_	Degree=Pos	_	conj	_	@iavu1948f-words#@iavu1948f#56.651#57.017
273	нагнать	нагнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	obl	_	@iavu1948f-words#@iavu1948f#57.017#57.383
274	тысячу	тысяча	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	obj	_	@iavu1948f-words#@iavu1948f#57.383#57.749
275	две	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Fem	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#57.749#58.115
276	тысячи	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#58.115#58.481
277	человек	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	obl	_	@iavu1948f-words#@iavu1948f#58.481#58.847
278	на	на	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#58.847#59.213
279	строительство	строительство	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#59.213#59.579
280	щас	сейчас	ADV	_	Degree=Pos	_	nmod	_	@iavu1948f-words#@iavu1948f#59.579#59.945
281	строится	строиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	_	csubj	_	@iavu1948f-words#@iavu1948f#59.945#60.311
282	огромный	огромный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	amod	_	@iavu1948f-words#@iavu1948f#60.311#60.677
283	дворец	дворец	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	nsubj:pass	_	@iavu1948f-words#@iavu1948f#60.677#61.043
284	спорта	спорт	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#61.043#61.409
285	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#61.409#61.775
286	который	который	PRON	_	Case=Nom	_	nsubj	_	@iavu1948f-words#@iavu1948f#61.775#62.141
287	должен	должный	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	_	acl:relcl	_	@iavu1948f-words#@iavu1948f#62.141#62.507
288	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	cop	_	@iavu1948f-words#@iavu1948f#62.507#62.873
289	готов	готовый	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	_	obl	_	@iavu1948f-words#@iavu1948f#62.873#63.239
290	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#63.239#63.605
291	нету	нет	PRED	_	_	_	iobj	_	@iavu1948f-words#@iavu1948f#63.605#63.971
292	организации	организация	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#63.971#64.337
293	труда	труд	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#64.337#64.725
294	и	и	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#66.171#66.627
295	то	тот	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#66.627#67.083
296	же	же	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#67.083#67.539
297	самое	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	amod	_	@iavu1948f-words#@iavu1948f#67.539#67.995
298	в	в	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#67.995#68.451
299	спорте	спорт	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#68.451#68.907
300	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#68.907#69.363
301	нету	нет	PRED	_	_	_	xcomp	_	@iavu1948f-words#@iavu1948f#69.363#69.819
302	организации	организация	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	obj	_	@iavu1948f-words#@iavu1948f#69.819#70.275
303	труда	труд	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#70.275#70.731
304	и	и	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#70.731#71.187
305	медикаментов	медикамент	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	conj	_	@iavu1948f-words#@iavu1948f#71.187#71.643
306	которые	который	PRON	_	Case=Acc	_	obj	_	@iavu1948f-words#@iavu1948f#71.643#72.099
307	употребляют	употреблять	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	conj	_	@iavu1948f-words#@iavu1948f#72.099#72.555
308	спортсмены	спортсмен	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	nsubj	_	@iavu1948f-words#@iavu1948f#72.555#73.025
309	например	например	ADV	_	Degree=Pos	_	parataxis	_	@iavu1948f-words#@iavu1948f#73.803#74.155
310	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#74.155#74.507
311	вот	вот	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#74.507#74.859
312	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	det	_	@iavu1948f-words#@iavu1948f#74.859#75.211
313	статистика	статистика	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#75.211#75.567
314	за	за	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#75.889#76.359
315	психотропными	психотропный	ADJ	_	Case=Ins|Degree=Pos|Number=Plur	_	amod	_	@iavu1948f-words#@iavu1948f#76.359#76.829
316	препаратами	препарат	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur	_	obl	_	@iavu1948f-words#@iavu1948f#76.829#77.299
317	которые	который	PRON	_	Case=Nom	_	nsubj:pass	_	@iavu1948f-words#@iavu1948f#77.299#77.769
318	запрещены	запретить	VERB	_	Aspect=Perf|Number=Plur|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	acl:relcl	_	@iavu1948f-words#@iavu1948f#77.769#78.239
319	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#78.239#78.709
320	ВАДА	ВАДА	PROPN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	parataxis	_	@iavu1948f-words#@iavu1948f#78.709#79.179
321	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#79.179#79.649
322	Россия	Россия	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#79.649#80.119
323	обращается	обращаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	acl	_	@iavu1948f-words#@iavu1948f#80.119#80.589
324	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#80.589#81.059
325	два	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Masc	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#81.059#81.529
326	раза	раз	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#81.529#82.0
327	Финляндия	Финляндия	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	nsubj:pass	_	@iavu1948f-words#@iavu1948f#83.403#84.019
328	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#84.019#84.635
329	двадцать	двадцать	NUM	_	Case=Nom	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#84.635#85.251
330	два	два	NUM	_	Case=Nom|Gender=Masc	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#85.251#85.867
331	а	а	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#87.15#87.633
332	Америка	Америка	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#87.633#88.116
333	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#88.116#88.599
334	пятьдесят	пятьдесят	NUM	_	Case=Nom	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#88.599#89.082
335	шесть	шесть	NUM	_	Case=Nom	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#89.082#89.565
336	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#89.565#90.048
337	обращений	обращение	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	_	nmod	_	@iavu1948f-words#@iavu1948f#90.048#90.535
338	кото...	которые	PRON	_	Case=Nom	_	iobj	_	@iavu1948f-words#@iavu1948f#91.192#91.597
339	некоторым	некоторый	DET	_	Case=Dat|Number=Plur	_	det	_	@iavu1948f-words#@iavu1948f#91.597#92.002
340	отказывают	отказывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	parataxis	_	@iavu1948f-words#@iavu1948f#92.002#92.407
341	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#92.407#92.812
342	но	но	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#92.812#93.217
343	некоторым	некоторый	DET	_	Case=Dat|Number=Plur	_	det	_	@iavu1948f-words#@iavu1948f#93.217#93.622
344	дают	давать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	conj	_	@iavu1948f-words#@iavu1948f#93.622#94.032
345	например	например	ADV	_	Degree=Pos	_	obl	_	@iavu1948f-words#@iavu1948f#94.289#94.707
346	Симона	Симон	PROPN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	obj	_	@iavu1948f-words#@iavu1948f#94.707#95.125
347	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#95.125#95.543
348	которая	который	PRON	_	Case=Nom	_	nsubj	_	@iavu1948f-words#@iavu1948f#95.543#95.961
349	в	в	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#95.961#96.379
350	спортивной	спортивный	ADJ	_	Case=Loc|Degree=Pos|Gender=Fem|Number=Sing	_	amod	_	@iavu1948f-words#@iavu1948f#96.379#96.797
351	гимнастике	гимнастика	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#96.797#97.215
352	завоевала	завоевать	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	acl:relcl	_	@iavu1948f-words#@iavu1948f#97.215#97.633
353	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#97.633#98.051
354	семь	семь	NUM	_	Case=Nom	_	nummod:gov	_	@iavu1948f-words#@iavu1948f#98.051#98.469
355	золотых	золотой	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	amod	_	@iavu1948f-words#@iavu1948f#98.469#98.887
356	медалей	медаль	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	nsubj	_	@iavu1948f-words#@iavu1948f#98.887#99.305
357	все	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	det	_	@iavu1948f-words#@iavu1948f#99.305#99.723
358	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#99.723#100.141
359	потребляет	потреблять	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	conj	_	@iavu1948f-words#@iavu1948f#100.141#100.559
360	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#100.559#100.977
361	психотропные	психотропный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	amod	_	@iavu1948f-words#@iavu1948f#100.977#101.395
362	препараты	препарат	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	obj	_	@iavu1948f-words#@iavu1948f#101.395#101.813
363	которые	который	PRON	_	Case=Nom	_	nsubj	_	@iavu1948f-words#@iavu1948f#101.813#102.231
364	повышают	повышать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	parataxis	_	@iavu1948f-words#@iavu1948f#102.231#102.649
365	концентрацию	концентрация	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	obj	_	@iavu1948f-words#@iavu1948f#102.649#103.067
366	и	и	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#103.067#103.485
367	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#103.485#103.903
368	наверное	наверное	ADV	_	Degree=Pos	_	parataxis	_	@iavu1948f-words#@iavu1948f#103.903#104.321
369	правильно	правильный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	conj	_	@iavu1948f-words#@iavu1948f#104.321#104.76
370	у	у	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#105.614#105.999
371	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	nmod	_	@iavu1948f-words#@iavu1948f#105.999#106.384
372	тоже	тоже	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#106.384#106.769
373	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	cop	_	@iavu1948f-words#@iavu1948f#106.769#107.154
374	девочки	девочка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	_	nsubj	_	@iavu1948f-words#@iavu1948f#107.154#107.539
375	которые	который	PRON	_	Case=Acc	_	obj	_	@iavu1948f-words#@iavu1948f#107.539#107.924
376	страдают	страдать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	advcl	_	@iavu1948f-words#@iavu1948f#107.924#108.309
377	потерей	потеря	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#108.309#108.694
378	концентрации	концентрация	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	nmod	_	@iavu1948f-words#@iavu1948f#108.694#109.085
379	у	у	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#109.342#109.627
380	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	_	obl	_	@iavu1948f-words#@iavu1948f#109.627#109.912
381	нет	нет	PRED	_	_	_	advcl	_	@iavu1948f-words#@iavu1948f#109.912#110.197
382	концентрации	концентрация	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#110.197#110.482
383	их	они	PRON	_	Case=Acc|Number=Plur|Person=3	_	obj	_	@iavu1948f-words#@iavu1948f#110.482#110.767
384	надо	надо	ADV	_	Degree=Pos	_	nsubj	_	@iavu1948f-words#@iavu1948f#110.767#111.052
385	лечить	лечить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	csubj	_	@iavu1948f-words#@iavu1948f#111.052#111.337
386	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#111.337#111.622
387	но	но	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#111.622#111.907
388	у	у	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#111.907#112.192
389	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	obl	_	@iavu1948f-words#@iavu1948f#112.192#112.477
390	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#112.477#112.762
391	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#112.762#113.047
392	не	не	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#113.047#113.332
393	принято	принятый	ADV	_	Degree=Pos	_	conj	_	@iavu1948f-words#@iavu1948f#113.332#113.617
394	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#113.617#113.902
395	у	у	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#113.902#114.187
396	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	obl	_	@iavu1948f-words#@iavu1948f#114.187#114.472
397	принято	принятый	ADV	_	Degree=Pos	_	obl	_	@iavu1948f-words#@iavu1948f#114.472#114.757
398	делать	делать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	csubj	_	@iavu1948f-words#@iavu1948f#114.757#115.042
399	все	все	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	obj	_	@iavu1948f-words#@iavu1948f#115.042#115.327
400	втихомолку	втихомолку	ADV	_	Degree=Pos	_	advmod	_	@iavu1948f-words#@iavu1948f#115.327#115.617
401	как	как	SCONJ	_	_	_	mark	_	@iavu1948f-words#@iavu1948f#116.817#117.129
402	говорится	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Pass	_	parataxis	_	@iavu1948f-words#@iavu1948f#117.129#117.441
403	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#117.441#117.753
404	под	под	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#117.753#118.065
405	фартухом	фартух	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#118.065#118.378
406	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	nsubj	_	@iavu1948f-words#@iavu1948f#119.232#119.507
407	неправильно	неправильный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	obl	_	@iavu1948f-words#@iavu1948f#119.507#119.782
408	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#119.782#120.057
409	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	nsubj	_	@iavu1948f-words#@iavu1948f#120.057#120.332
410	должны	должный	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	_	conj	_	@iavu1948f-words#@iavu1948f#120.332#120.607
411	прийти	прийти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	xcomp	_	@iavu1948f-words#@iavu1948f#120.607#120.882
412	к	к	ADP	_	_	_	case	_	@iavu1948f-words#@iavu1948f#120.882#121.157
413	врачу	врач	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	obl	_	@iavu1948f-words#@iavu1948f#121.157#121.432
414	и	и	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#121.432#121.707
415	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	conj	_	@iavu1948f-words#@iavu1948f#121.707#121.982
416	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#121.982#122.257
417	что	что	SCONJ	_	_	_	mark	_	@iavu1948f-words#@iavu1948f#122.257#122.532
418	вот	вот	PART	_	_	_	advmod	_	@iavu1948f-words#@iavu1948f#122.532#122.807
419	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	ccomp	_	@iavu1948f-words#@iavu1948f#122.807#123.082
420	такие	такой	DET	_	Case=Nom|Number=Plur	_	det	_	@iavu1948f-words#@iavu1948f#123.082#123.357
421	проблемы	проблема	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	nsubj	_	@iavu1948f-words#@iavu1948f#123.357#123.632
422	/	/	PUNCT	_	_	_	punct	_	@iavu1948f-words#@iavu1948f#123.632#123.907
423	и	и	CCONJ	_	_	_	cc	_	@iavu1948f-words#@iavu1948f#123.907#124.182
